word,def,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
보람어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,685.2,30000,032-880-5413,,인천광역시 미추홀구 용현동 622-34,인천광역시 미추홀구청,,,2021-05-31
사미어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,1652,30000,032-880-5413,,인천광역시 미추홀구 주안동 1418-93,인천광역시 미추홀구청,37.45008774,126.6727097,2021-05-31
산성어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,2461.2,30000,032-880-5413,,인천광역시 미추홀구 문학동 403-15,인천광역시 미추홀구청,37.43919493,126.6847274,2021-05-31
삼호어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,3933.3,30000,032-880-5413,,인천광역시 미추홀구 문학동 360,인천광역시 미추홀구청,37.4379823,126.6803012,2021-05-31
새싹어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,718.3,30000,032-880-5413,,인천광역시 미추홀구 용현동 623-141,인천광역시 미추홀구청,,,2021-05-31
석바위근린공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,47004.8,30000,032-880-5413,,인천광역시 미추홀구 주안동 1578 일원,인천광역시 미추홀구청,,,2021-05-31
선비어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,3150,30000,032-880-5413,,인천광역시 미추홀구 학익동 51,인천광역시 미추홀구청,37.44151017,126.6756033,2021-05-31
소성어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,1486.8,30000,032-880-5413,,인천광역시 미추홀구 문학동 347-1,인천광역시 미추홀구청,37.439147,126.6847251,2021-05-31
송내어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,1668.7,30000,032-880-5413,,인천광역시 미추홀구 주안동 1512-9,인천광역시 미추홀구청,,,2021-05-31
수봉근린공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,332694,30000,032-880-5413,,"인천광역시 미추홀구 숭의,도화,용현,주안동 일원",인천광역시 미추홀구청,,,2021-05-31
스승어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,2048.1,30000,032-880-5413,,인천광역시 미추홀구 학익동 709-2,인천광역시 미추홀구청,,,2021-05-31
승학어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,1701.3,30000,032-880-5413,,인천광역시 미추홀구 관교동 495,인천광역시 미추홀구청,37.44230331,126.6938704,2021-05-31
신비어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,1514.7,30000,032-880-5413,,인천광역시 미추홀구 관교동 516-2,인천광역시 미추홀구청,37.4452231,126.687527,2021-05-31
쑥골어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,2378.4,30000,032-880-5413,,인천광역시 미추홀구 도화동 699-14,인천광역시 미추홀구청,,,2021-05-31
양토어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,1500.2,30000,032-880-5413,,인천광역시 미추홀구 학익동 704-3,인천광역시 미추홀구청,,,2021-05-31
염창어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,2105.3,30000,032-880-5413,,인천광역시 미추홀구 주안동 26-44,인천광역시 미추홀구청,,,2021-05-31
용남어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,3439.3,30000,032-880-5413,,인천광역시 미추홀구 용현동 14,인천광역시 미추홀구청,37.4506674,126.6660857,2021-05-31
용정근린공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,29552,30000,032-880-5413,,인천광역시 미추홀구 용현동 615-1 일원,인천광역시 미추홀구청,,,2021-05-31
재넘이어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,10037,30000,032-880-5413,,인천광역시 미추홀구 학익동 336-5일원,인천광역시 미추홀구청,,,2021-05-31
제운어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,2178.8,30000,032-880-5413,,인천광역시 미추홀구 학익동 686-11,인천광역시 미추홀구청,,,2021-05-31
주안어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,7974.2,30000,032-880-5413,,인천광역시 미추홀구 주안동 281,인천광역시 미추홀구청,37.46286497,126.676809,2021-05-31
주인근린공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,29232.5,30000,032-880-5413,,"인천광역시 미추홀구 숭의2,숭의4",인천광역시 미추홀구청,,,2021-05-31
중앙근린공원(8지구),공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,,인천광역시 미추홀구 관교동 14,인천광역시 미추홀구청,37.44190495,126.6996909,2021-05-31
지석어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,1800.3,30000,032-880-5413,,인천광역시 미추홀구 문학동 391-20,인천광역시 미추홀구청,37.4363627,126.6843896,2021-05-31
학골어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,1503.9,30000,032-880-5413,,인천광역시 미추홀구 학익동 693-3,인천광역시 미추홀구청,,,2021-05-31
학산어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,1182.9,30000,032-880-5413,,인천광역시 미추홀구 학익동 662,인천광역시 미추홀구청,,,2021-05-31
학익어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,4611.3,30000,032-880-5413,,인천광역시 미추홀구 학익동 732-5,인천광역시 미추홀구청,,,2021-05-31
한나루어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,2988,30000,032-880-5413,,인천광역시 미추홀구 학익동 721-5,인천광역시 미추홀구청,,,2021-05-31
햇님어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,601.1,30000,032-880-5413,,인천광역시 미추홀구 용현동 619-2,인천광역시 미추홀구청,,,2021-05-31
다솜어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,2572.7,30000,032-880-5413,,인천광역시 미추홀구 용현동 664-1,인천광역시 미추홀구청,,,2021-05-31
도담어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,4577.9,30000,032-880-5413,,인천광역시 미추홀구 용현동 664-5,인천광역시 미추홀구청,37.44709143,126.642994,2021-05-31
문학소공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,786,30000,032-880-5413,,인천광역시 미추홀구 문학동 344-1,인천광역시 미추홀구청,,,2021-05-31
제2용정근린공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,29187.6,30000,032-880-5413,,인천광역시 미추홀구 용현동 666,인천광역시 미추홀구청,37.45067723,126.6428252,2021-05-31
관교공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,,인천광역시 미추홀구 문학동 일원,인천광역시 미추홀구청,,,2021-05-31
궁현어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,3441.3,30000,032-880-5413,,인천광역시 미추홀구 도화동 987-3,인천광역시 미추홀구청,,,2021-05-31
문학공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,,인천광역시 미추홀구 학익동 산68-2 일원,인천광역시 미추홀구청,,,2021-05-31
베말근린공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,14749.5,30000,032-880-5413,,인천광역시 미추홀구 도화동 994-1,인천광역시 미추홀구청,,,2021-05-31
서화어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,5813.7,30000,032-880-5413,,인천광역시 미추홀구 도화동 1003-2,인천광역시 미추홀구청,,,2021-05-31
송림어린이공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,3644.4,30000,032-880-5413,,인천광역시 미추홀구 도화동 988,인천광역시 미추홀구청,,,2021-05-31
염전문화공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,10598.6,30000,032-880-5413,,인천광역시 미추홀구 도화동 986-3,인천광역시 미추홀구청,,,2021-05-31
화동근린공원,공원 전체,인천광역시,미추홀구,도시공원,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,20176.3,30000,032-880-5413,,인천광역시 미추홀구 도화동 1007-3,인천광역시 미추홀구청,37.47304707,126.6647639,2021-05-31
관교여자중학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 경원대로 691,인천광역시 미추홀구 관교동 512,인천광역시 미추홀구청,37.44516805,126.6889705,2021-05-31
관교중학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 경원대로 670번길 19,인천광역시 미추홀구 관교동 482,인천광역시 미추홀구청,37.44425694,126.6917752,2021-05-31
남인천여자중학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 인하로 426,인천광역시 미추홀구 관교동 343-1,인천광역시 미추홀구청,37.445117,126.6940513,2021-05-31
도화기계공업고등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 석정로 165,인천광역시 미추홀구 도화동 193-6,인천광역시 미추홀구청,37.47395988,126.6519987,2021-05-31
문학정보고등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 소성로 350번길 29,인천광역시 미추홀구 문학동 394-4,인천광역시 미추홀구청,37.43549148,126.6866821,2021-05-31
선인고등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 석정로 165,인천광역시 미추홀구 도화동 206-1,인천광역시 미추홀구청,37.47395988,126.6519987,2021-05-31
선인중학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 석정로 165,인천광역시 미추홀구 도화동 193-6,인천광역시 미추홀구청,37.47395988,126.6519987,2021-05-31
선화여자중학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 석정로 165,인천광역시 미추홀구 도화동 241,인천광역시 미추홀구청,37.47395988,126.6519987,2021-05-31
용현여자중학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 낙섬동로 28,인천광역시 미추홀구 용현동 627-38,인천광역시 미추홀구청,37.44840503,126.6406725,2021-05-31
용현중학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 낙섬동로 16,인천광역시 미추홀구 용현동 627-435,인천광역시 미추홀구청,37.4478538,126.6395495,2021-05-31
인명여자고등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 문화로 11,인천광역시 미추홀구 관교동 13-5,인천광역시 미추홀구청,37.44037081,126.6972234,2021-05-31
인주중학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 매소홀로 335,인천광역시 미추홀구 학익동 430-51,인천광역시 미추홀구청,37.442731,126.6598736,2021-05-31
인천경원초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 경인로 511,,인천광역시 미추홀구청,37.46136485,126.6957696,2021-05-31
인천고등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 경원대로 804,인천광역시 미추홀구 주안동 1555,인천광역시 미추홀구청,37.45295947,126.6913055,2021-05-31
인천관교초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 인하로 414,인천광역시 미추홀구 관교동 334,인천광역시 미추홀구청,37.44625619,126.6927795,2021-05-31
인천기계공업고등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 한나루로 545,인천광역시 미추홀구 주안동 638-1,인천광역시 미추홀구청,37.45685813,126.6683546,2021-05-31
인천남부초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 인주대로366번길 22,,인천광역시 미추홀구청,37.4503294,126.675874,2021-05-31
인천남중학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 수봉로 16-23,인천광역시 미추홀구 숭의동 41-3,인천광역시 미추홀구청,37.46379213,126.6539999,2021-05-31
인천대화초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 석정로301번길 13,인천광역시 미추홀구 도화동 105-11,인천광역시 미추홀구청,37.46901863,126.6685315,2021-05-31
인천도화초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 경인로 242,인천광역시 미추홀구 도화동 541-5,인천광역시 미추홀구청,37.46314213,126.667843,2021-05-31
인천문학초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 매소홀로 553,인천광역시 미추홀구 문학동 343-2,인천광역시 미추홀구청,37.43989041,126.6828637,2021-05-31
인천백학초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 매소홀로446번길 25,인천광역시 미추홀구 학익동 674,인천광역시 미추홀구청,37.43892004,126.6719502,2021-05-31
인천비즈니스고등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 장고개로 31,인천광역시 미추홀구 도화동 1010,인천광역시 미추홀구청,37.47211645,126.6665695,2021-05-31
인천서화초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 송림로 250 서화초등학교 2동,인천광역시 미추홀구 도화동 1003,인천광역시 미추홀구청,37.4739059,126.6608141,2021-05-31
인천석암초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 주안동로 46,,인천광역시 미추홀구청,37.46235036,126.6867275,2021-05-31
인천숭의초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 장천로 99,인천광역시 미추홀구 숭의동 42-2,인천광역시 미추홀구청,37.46372007,126.6557051,2021-05-31
인천승학초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 주승로 259,인천광역시 미추홀구 관교동 13-4,인천광역시 미추홀구청,37.44040217,126.6965596,2021-05-31
인천연학초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 주승로 20,인천광역시 미추홀구 학익동 29-2,인천광역시 미추홀구청,37.44356556,126.6719664,2021-05-31
인천용일초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 인주대로 244,,인천광역시 미추홀구청,37.45245069,126.6633606,2021-05-31
인천용정초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 독정안길 26,인천광역시 미추홀구 숭의동 12-8,인천광역시 미추홀구청,37.4594038,126.6572363,2021-05-31
인천용현남초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 매소홀로 133,인천광역시 미추홀구 용현동 627-449,인천광역시 미추홀구청,37.44789356,126.6419587,2021-05-31
인천용현초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 낙섬동로 83,인천광역시 미추홀구 용현동 610-108,인천광역시 미추홀구청,37.45318079,126.6408079,2021-05-31
인천인주초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,,인천광역시 미추홀구 학익동 40-36,인천광역시 미추홀구청,37.44222172,126.6745303,2021-05-31
인천전자마이스터고등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 석정로 165,인천광역시 미추홀구 도화동 20-6,인천광역시 미추홀구청,37.47395988,126.6519987,2021-05-31
인천주안남초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 인주대로434번길 11,인천광역시 미추홀구 주안동 1503,인천광역시 미추홀구청,37.44955342,126.6850024,2021-05-31
인천주안북초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,광역시 미추홀구 석정로375번길 14,인천광역시 미추홀구 주안동 14-1,인천광역시 미추홀구청,37.46816063,126.6780582,2021-05-31
인천주안초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,,인천광역시 미추홀구 주안동 454-1,인천광역시 미추홀구청,37.4575488,126.6814144,2021-05-31
인천하이텍고등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 석정로 165,인천광역시 미추홀구 도화동 20-6,인천광역시 미추홀구청,37.47395988,126.6519987,2021-05-31
인천학산초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 한나루로357번길 66,인천광역시 미추홀구 학익동 721-7,인천광역시 미추홀구청,37.43982883,126.6581604,2021-05-31
인천학익초등학교,학교출입문으로부터 직선거리로 50미터까지인 지역,인천광역시,미추홀구,교육환경보호구역 중 절대보호구역,인천광역시 미추홀구 간접흡연 피해방지에 관한 조례,,30000,032-880-5413,인천광역시 미추홀구 한나루로 403번길 122,인천광역시 미추홀구 학익동 330-1,인천광역시 미추홀구청,37.44706316,126.6586364,2021-05-31
